Model,Task,Accuracy,Loss,DSC
MobileUnet,Infection,85.803085597999,0.15265669952256,88.14891610939861
ResUnet,Infection,93.1324196481038,0.12306192868923944,83.649791408292
ResUnet50,Infection,86.7873381354183,0.12785313681308363,89.07558733493167
