Model,Task,Accuracy,Loss,DSC
MobileUnet,Lung,92.9316112464564,0.19899199298533685,80.84972452853991
ResUnet,Lung,86.841642383429,0.16577867784562617,84.19312213735492
ResUnet50,Lung,90.91304230681523,0.1327923909432887,80.06729689016157
